symbol,close,open,high,low,volume,changePercent,date,companyName,sector,MMM,AXP,AIG,ACN,CHRW,CSCO,DVN,XOM,week_ranges,week_num,MEDV_volume,z_volume
DVN,15.76,15.65,15.76,14.54,13064247,7.95,2020-06-08,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-03 - 2020-06-09,10,0.12674007577853735,0.12674007577853735
DVN,14.55,15.0,15.03,14.22,10895947,-7.68,2020-06-09,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-03 - 2020-06-09,10,-0.06775424839830048,-0.06775424839830048
DVN,13.67,14.15,14.5,13.35,12575589,-6.05,2020-06-10,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-10 - 2020-06-16,11,0.08290794578563729,0.08290794578563729
DVN,12.2,12.2,13.22,11.92,9180422,-10.75,2020-06-11,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-10 - 2020-06-16,11,-0.22163511150924903,-0.22163511150924903
DVN,12.8,13.03,13.09,12.11,8107056,4.92,2020-06-12,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-10 - 2020-06-16,11,-0.31791495966881905,-0.31791495966881905
DVN,12.89,12.01,13.09,11.82,7488220,0.7,2020-06-15,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-10 - 2020-06-16,11,-0.37342392503168287,-0.37342392503168287
DVN,13.3,13.87,13.88,12.8,10075498,3.18,2020-06-16,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-10 - 2020-06-16,11,-0.1413476966188246,-0.1413476966188246
DVN,12.63,13.2,13.31,12.6,7580321,-5.04,2020-06-17,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-17 - 2020-06-23,12,-0.36516255817699905,-0.36516255817699905
DVN,12.95,12.44,13.14,12.37,6610960,2.53,2020-06-18,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-17 - 2020-06-23,12,-0.4521132626820877,-0.4521132626820877
DVN,12.94,13.42,13.66,12.72,15559675,-0.08,2020-06-19,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-17 - 2020-06-23,12,0.3505774517836834,0.3505774517836834
DVN,12.7,12.91,12.98,12.56,6084872,-1.85,2020-06-22,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-17 - 2020-06-23,12,-0.4993028259424964,-0.4993028259424964
DVN,12.38,12.91,13.0,12.28,9560764,-2.52,2020-06-23,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-17 - 2020-06-23,12,-0.18751881752499092,-0.18751881752499092
DVN,11.25,12.11,12.17,11.25,11073137,-9.13,2020-06-24,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-24 - 2020-06-30,13,-0.051860484020265205,-0.051860484020265205
DVN,11.7,11.11,11.79,11.06,8708348,4.0,2020-06-25,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-24 - 2020-06-30,13,-0.26397967342017303,-0.26397967342017303
